uuid,name,criteria,evaluator,message,priority,enabled,tags,description
7376f82e-225c-4340-9a8d-22e679532f37,"Due for 1st Viral Load","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_audit_tool_art_patients mfatap on p.patient_id = mfatap.client_id LEFT JOIN mamba_fact_patients_latest_viral_load mfplvl ON mfatap.client_id = mfplvl.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfatap.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfatap.client_id = mfplvlo.client_id WHERE (CURRENT_DATE() BETWEEN DATE_ADD(baseline_regimen_start_date, INTERVAL 5 MONTH) AND DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH)) AND dead=false AND mfplvl.client_id is NULL AND mfto.client_id is NULL AND mfplvlo.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 1st Viral on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are due for their first viral load after enrollment into HIV Care"
6ce583d1-a4d7-41a6-902f-9a5debea1ec7,"Overdue for First Viral Load","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_audit_tool_art_patients mfatap on p.patient_id = mfatap.client_id LEFT JOIN mamba_fact_patients_latest_viral_load mfplvl ON mfatap.client_id = mfplvl.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfatap.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfatap.client_id = mfplvlo.client_id WHERE CURRENT_DATE() >= DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH) AND dead=false AND mfplvl.client_id is NULL AND mfto.client_id is NULL AND mfplvlo.client_id is NULL AND TIMESTAMPDIFF(YEAR ,baseline_regimen_start_date,CURDATE())< 1",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"First Viral Load Overdue from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are overdue for their first viral load after enrollment into HIV Care"
424cda04-c1ec-4c57-99ca-6c443d48fe6b,"Bled for Viral load","SELECT p.patient_id,DATE_FORMAT(order_date,'%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load_ordered mfplvlo on p.patient_id=mfplvlo.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvlo.client_id = mfap.client_id WHERE dead= FALSE and TIMESTAMPDIFF(MONTH,order_date,CURDATE()) <=1",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Patient was bled for viral load on ${1} awaiting results",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have been bled for viral load and awaiting results"
5bc66261-7ad6-4c66-97d9-eb3c511a9274,"Due for Routine Viral Load","SELECT p.patient_id, DATE_FORMAT(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 12 MONTH)), '%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load mfplvl on p.patient_id = mfplvl.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvl.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfplvl.client_id = mfto.client_id LEFT JOIN mamba_fact_transfer_in mfti ON mfti.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfplvl.client_id = mfplvlo.client_id WHERE mfap.dead = FALSE AND (mfti.client_id IS NULL OR mfti.transfer_in_date > mfto.transfer_out_date) AND (mfplvlo.client_id IS NULL OR TIMESTAMPDIFF(MONTH,order_date,CURDATE()) >=2) AND DATEDIFF(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(hiv_viral_collection_date, INTERVAL 12 MONTH)),CURDATE()) BETWEEN 0 AND 30",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for Routine Viral Load on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are due for their routine viral load"
ffa7a845-bcdd-4727-a68a-3badb8c09692,"Overdue for Routine Viral Load","SELECT p.patient_id, DATE_FORMAT(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 12 MONTH)), '%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load mfplvl on p.patient_id =mfplvl.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvl.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfplvl.client_id = mfto.client_id LEFT JOIN mamba_fact_transfer_in mfti ON mfti.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfplvl.client_id = mfplvlo.client_id WHERE mfap.dead = FALSE AND mfplvl.hiv_viral_collection_date IS NOT NULL AND (mfti.client_id IS NULL OR mfti.transfer_in_date > mfto.transfer_out_date) AND (mfplvlo.client_id IS NULL OR TIMESTAMPDIFF(MONTH,order_date,CURDATE()) >=2) AND CURRENT_DATE() >IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(hiv_viral_collection_date, INTERVAL 12 MONTH))",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Overdue for Routine Viral Load from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are overdue for their routine viral load"
1cbc86cf-8a5a-4402-b56a-6489aa4d4f2d,"Upcoming appointment","SELECT p.patient_id, DATE_FORMAT(latest_return_date, '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND transfer_out_date IS NULL AND latest_return_date >= CURRENT_DATE()",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Upcoming appointment on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have an upcoming appointment"
a248d8ca-9e60-4a54-a417-fcf00302fdb2,"Missed appointment","SELECT p.patient_id, DATE_FORMAT(latest_return_date, '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND days_left_to_be_lost BETWEEN 7 AND 27 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Missed appointment on ${1}",orange,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have missed appointment - this is between 7 to 29 days"
4d10da66-1ede-4a92-aa71-a8dedb13a0ba,"Lost","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(latest_return_date, INTERVAL 28 DAY), '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on mfac.client_id = p.patient_id WHERE dead = FALSE AND days_left_to_be_lost  BETWEEN 28 AND 89 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Lost since ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have missed appointment - this is between 30 to 89 days"
5a1f8283-9d5a-4efe-89a3-5634e01c8083,"Lost to Followup","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(latest_return_date, INTERVAL 90 DAY), '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND days_left_to_be_lost >= 90 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Lost to follow-up since ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have spent more than 90 days since their expected return date"
e8141fdf-4359-461d-840a-216442d45392,"Due for 1st DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 6 WEEK), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(WEEK, eid_dob, CURDATE()) BETWEEN 6 AND 9) AND mfap.client_id is NULL AND `1ST_PCR_DATE` is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 1st DNA PCR on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are due for their first DNA PCR, between 6 to 9 weeks"
