Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7000
162135OFAAAAAAAAAAAAAAA,0,1,One time,,
162243OFAAAAAAAAAAAAAAA,0,48,Every 30 min,,
162244OFAAAAAAAAAAAAAAA,0,24,Every hour,,
162245OFAAAAAAAAAAAAAAA,0,12,Every two hours,,
162246OFAAAAAAAAAAAAAAA,0,8,Every three hours,,
162247OFAAAAAAAAAAAAAAA,0,6,Every four hours,,
162248OFAAAAAAAAAAAAAAA,0,4.8,Every five hours,,
162249OFAAAAAAAAAAAAAAA,0,4,Every six hours,,
162250OFAAAAAAAAAAAAAAA,0,3,Every eight hours,,
162251OFAAAAAAAAAAAAAAA,0,2,Every twelve hours,,
160858OFAAAAAAAAAAAAAAA,0,2,Twice daily,,
160859OFAAAAAAAAAAAAAAA,0,2,Twice daily before meals,,
160860OFAAAAAAAAAAAAAAA,0,2,Twice daily after meals,,
160861OFAAAAAAAAAAAAAAA,0,2,Twice daily with meals,,
162252OFAAAAAAAAAAAAAAA,0,1,Every twenty-four hours,,
160862OFAAAAAAAAAAAAAAA,0,1,Once daily,,
160863OFAAAAAAAAAAAAAAA,0,1,"Once daily, at bedtime",,
160864OFAAAAAAAAAAAAAAA,0,1,"Once daily, in the evening",,
160865OFAAAAAAAAAAAAAAA,0,1,"Once daily, in the morning",,
160866OFAAAAAAAAAAAAAAA,0,3,Thrice daily,,
160867OFAAAAAAAAAAAAAAA,0,3,"Thrice daily, after meals",,
160868OFAAAAAAAAAAAAAAA,0,3,"Thrice daily, before meals",,
160869OFAAAAAAAAAAAAAAA,0,3,"Thrice daily, with meals",,
160870OFAAAAAAAAAAAAAAA,0,4,Four times daily,,
160871OFAAAAAAAAAAAAAAA,0,4,"Four times daily, after meals and at bedtime",,
160872OFAAAAAAAAAAAAAAA,0,4,"Four times daily, before meals and at bedtime",,
162253OFAAAAAAAAAAAAAAA,0,0.5,Every forty-eight hours,,
162254OFAAAAAAAAAAAAAAA,0,0,Every thirty-six hours,,
162255OFAAAAAAAAAAAAAAA,0,0,Every seventy-two hours,,
162256OFAAAAAAAAAAAAAAA,0,0,"Every Monday, Wednesday and Friday",,
1e9b9c1e-1b1b-484c-9158-0c801d26283e,0,1,MONTHLY,,
0d4351ce-15c9-11f0-9e19-da924fd23489,0,1,WEEKLY,,
94bcbd80-2d72-4dac-b90b-03e73e419ebe,0,1,Bimonthly,,
2eb1c31e-76c9-482f-8394-48606fe2fc76,0,1,Quarterly,,
ee5c68dd-1cde-46eb-84e6-4e8f14b1c5cc,0,1,Annually,,

