Uuid,Privilege name,Description,_order:1000
uuid,privilege,description
bd85a79c-e34c-4314-a8ff-5f353ae9f598,Access Offline Tools,Access Offline Tools
ca605a31-de8a-4e68-b027-dad31f5334f0,Add Allergies,Add allergies
98b39aae-32f5-4f0a-802e-02fbc74ed3db,Add Attachments,Add Attachments
129a991e-440a-11e6-a65c-00e04c680037,Add Cohorts,Able to add a cohort to the system
129a9a2f-440a-11e6-a65c-00e04c680037,Add Concept Proposals,Able to add concept proposals to the system
4fd3d4ba-c2a4-4c46-acec-d242a3987cc5,Add Conditions,Add Conditions
129a9a7a-440a-11e6-a65c-00e04c680037,Add Encounters,Able to add patient encounters
d73a9b2a-eb12-41f3-9837-50e92d684631,Add HL7 Inbound Archive,Able to add an HL7 archive item
9191cf01-dddd-49e9-a23c-1af42629fee8,Add HL7 Inbound Exception,Able to add an HL7 error item
0fd8e147-54d0-45cb-bd3c-39a57f951a69,Add HL7 Inbound Queue,Able to add an HL7 Queue item
5953079c-09f1-4b7a-9315-c84b3448671d,Add HL7 Source,Able to add an HL7 Source
b9e0e3b9-8982-4c69-86ed-677a4a566050,Add Immunizations,Ability to add immunization
129a9abd-440a-11e6-a65c-00e04c680037,Add Observations,Able to add patient observations
129a9af6-440a-11e6-a65c-00e04c680037,Add Orders,Able to add orders
f0bfb426-9689-437f-844f-227f33054b36,Add Patient Button,Add Patient Button
129a9b30-440a-11e6-a65c-00e04c680037,Add Patient Identifiers,Able to add patient identifiers
129a9b6f-440a-11e6-a65c-00e04c680037,Add Patient Programs,Able to add patients to programs
9cff066d-5764-416f-a798-0c1c0975e7db,Add Patient To List Button,Add Patient To List Button
129a9bab-440a-11e6-a65c-00e04c680037,Add Patients,Able to add patients
129a9be1-440a-11e6-a65c-00e04c680037,Add People,Able to add person objects
88c4f7c1-e062-44eb-b2ec-1d01f5c4c922,Add Problems,Add problems
129a9c0a-440a-11e6-a65c-00e04c680037,Add Relationships,Able to add relationships
129a9c32-440a-11e6-a65c-00e04c680037,Add Report Objects,Able to add report objects
129a9c58-440a-11e6-a65c-00e04c680037,Add Reports,Able to add reports
129a9c7c-440a-11e6-a65c-00e04c680037,Add Users,Able to add users to OpenMRS
c6fe41a5-0daf-4047-b579-5c06c136bb8a,Add Visits,Able to add visits
79c75292-6a4d-4213-90d7-26e6b248590a,Add Vitals and Biometrics,Add Vitals and Biometrics
b9560a59-f678-4271-a6a3-18d522d5617d,Adjust Cashier Bills,Able to adjust bills
bca89f65-cbd1-4002-aba1-c49ee767d3c1,App: Access Cashier Tasks,Able to access cashier tasks page
a998088f-75d4-44fa-a0fa-16c5a81c44c3,App: adminui.configuremetadata,Able to access configure metadata app
0db18b0a-fd2b-4f83-9e6f-081f61049cb7,App: appointmentschedulingui.appointmentTypes,Access to the Manage Service Types app
8920534c-f61e-4b88-92fb-72b9baa6cf9f,App: appointmentschedulingui.home,Ability to view the appointment app on the home page
b1bd8f3f-c5fd-415a-b202-7f9afc9ec58c,App: appointmentschedulingui.providerSchedules,Access to the Manage Provider Schedules app
6b36b400-6d58-4391-a645-1f3cca49f636,App: appointmentschedulingui.viewAppointments,Access to Manage Appointments and Daily Scheduled Appointments (but not the ability to book appointments from these pages)
068ababb-2e9a-42d7-80f4-ba236af056a5,App: atlas.manage,Manage whether and how this implementation is displayed on the OpenMRS Atlas
1a5a853c-99f7-4302-b62f-3a120ce35872,App: attachments.attachments.page,Allowed to access the main attachments page
25fbec7e-2478-11ee-be56-0242ac120002,App: checkin.button,Access Checkin Button
25fbf110-2478-11ee-be56-0242ac120002,App: checkin.workspace,Access to the checkin work space
cd4d42ec-43d8-40ed-adf4-8b4e8faba0bf,App: coreapps.activeVisits,Able to access the active visits app
18819e00-57c8-4d3c-ae73-5f2a823a64db,App: coreapps.configuremetadata,Able to access the Configure Metadata page
34c68bad-18a2-4f23-9697-7828ce728740,App: coreapps.dataManagement,Able to access data management apps
6080334e-131f-4acb-9ef7-e5bea0906381,App: coreapps.findPatient,Able to access the find patient app
7f86cae4-4943-45f3-a259-2377fbf34907,App: coreapps.mergePatient,Able to access the merge patient app
5f24c089-04f6-41f4-a333-e5971c829eeb,App: coreapps.patientDashboard,Able to access the patient dashboard
affc7727-e7ca-486d-b3f2-e4136d65919d,App: coreapps.patientVisits,Able to access the patient visits screen
0672c039-81a5-41db-9ceb-4b0c2bfc8da7,App: coreapps.summaryDashboard,Able to access summary dashboards
5504db15-2e57-4494-af6a-acf2eb4af37c,App: coreapps.systemAdministration,Able to access the System Administration page
cf0cb4bc-9c68-4785-897b-fdbc43cafc83,App: datavisualiserui.downloaddata,Allow user to download data visualiser data
